,property_url,style,street,city,zip_code,beds,Total Baths,sqft,year_built,days_on_mls,list_price,sold_price,last_sold_date,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,stories,hoa_fee,parking_garage,agent_name,nearby_schools
1439,https://www.realtor.com/realestateandhomes-detail/5715-S-Mullen-Ave_Los-Angeles_CA_90043_M19332-49200,SINGLE_FAMILY,5715 S Mullen Ave,Los Angeles,90043,3.0,2.0,1497.0,1923.0,63.0,1349000.0,1365000,2024-08-14,1349989.0,False,6405.0,912.0,33.990383,-118.339133,South LA,1.0,0.0,1.0,Courtney Poulos,"Los Angeles Unified School District, Today's Fresh Start-Compton District"
1440,https://www.realtor.com/realestateandhomes-detail/1319-S-Ogden-Dr_Los-Angeles_CA_90019_M21115-92629,SINGLE_FAMILY,1319 S Ogden Dr,Los Angeles,90019,3.0,2.0,2056.0,1927.0,34.0,2295000.0,2400000,2024-08-14,1858000.0,False,7348.0,1167.0,34.052475,-118.364288,"Central LA, Wilshire Vista, Mid - Wilshire",1.0,0.0,0.0,Brandon Weinstock,Los Angeles Unified School District
1441,https://www.realtor.com/realestateandhomes-detail/9211-Nightingale-Dr_Los-Angeles_CA_90069_M11474-12366,SINGLE_FAMILY,9211 Nightingale Dr,Los Angeles,90069,6.0,7.5,10914.0,2023.0,57.0,23800000.0,21000000,2024-08-14,18822767.0,True,17492.0,1924.0,34.104064,-118.389048,"Hollywood Hills West, Central LA",2.0,27.0,4.0,Benjamin Bacal,Los Angeles Unified School District
1442,https://www.realtor.com/realestateandhomes-detail/13964-Sayre-St_Sylmar_CA_91342_M15321-17372,SINGLE_FAMILY,13964 Sayre St,Sylmar,91342,2.0,1.0,1080.0,1950.0,42.0,674900.0,600000,2024-08-14,670242.0,False,5181.0,556.0,34.306486,-118.437524,"Sylmar, North Valley",1.0,0.0,2.0,Fernando Morales,"Los Angeles Unified School District, PUC Community Charter Elementary District"
1443,https://www.realtor.com/realestateandhomes-detail/3415-Fletcher-Dr_Los-Angeles_CA_90065_M94394-93374,SINGLE_FAMILY,3415 N Fletcher Dr,Los Angeles,90065,4.0,4.5,2275.0,2024.0,183.0,1255000.0,1253094,2024-08-14,1255000.0,True,1925.0,551.0,34.119076,-118.240105,"Glassell Park, Northeast LA",4.0,172.0,2.0,"Tracy Do, Agent","Los Feliz Charter School for the Arts District, Los Angeles Unified School District"
1444,https://www.realtor.com/realestateandhomes-detail/1234-Wilshire-Blvd-Apt-522_Los-Angeles_CA_90017_M11842-64133,CONDOS,1234 Wilshire Blvd,Los Angeles,90017,1.0,1.0,680.0,2006.0,160.0,450000.0,430000,2024-08-14,457046.0,False,71352.0,632.0,34.052993,-118.265995,"Westlake, Central LA",2.0,740.0,0.0,Helen Kim,Los Angeles Unified School District
1445,https://www.realtor.com/realestateandhomes-detail/3522-Amesbury-Rd_Los-Angeles_CA_90027_M15865-33169,SINGLE_FAMILY,3522 Amesbury Rd,Los Angeles,90027,3.0,2.0,2159.0,1954.0,32.0,2285000.0,2360000,2024-08-14,2341304.0,False,7089.0,1093.0,34.115589,-118.279323,"Los Feliz, Central LA",1.0,0.0,1.0,Stephen Parisi,"Los Angeles Unified School District, Los Feliz Charter Middle School for the Arts District"
1446,https://www.realtor.com/realestateandhomes-detail/800-W-101st-St_Los-Angeles_CA_90044_M21810-77165,SINGLE_FAMILY,800 W 101st St,Los Angeles,90044,4.0,2.5,1490.0,1924.0,42.0,769000.0,762000,2024-08-14,756251.0,False,5100.0,511.0,33.944336,-118.289515,"Vermont Vista, South LA",2.0,0.0,2.0,Farrah Aldjufrie,Los Angeles Unified School District
1447,https://www.realtor.com/realestateandhomes-detail/5711-Fallston-St_Los-Angeles_CA_90042_M17065-40876,SINGLE_FAMILY,5711 Fallston St,Los Angeles,90042,2.0,1.0,954.0,1924.0,34.0,899000.0,970000,2024-08-14,954650.0,False,2000.0,1017.0,34.123989,-118.192917,"Highland Park, Northeast LA",1.0,0.0,0.0,Adam Kuyt,"Los Angeles Unified School District, Los Angeles County Office Of Education School District"
1448,https://www.realtor.com/realestateandhomes-detail/11729-Hartsook-St_Valley-Village_CA_91607_M27469-35310,SINGLE_FAMILY,11729 Hartsook St,Valley Village,91607,4.0,1.0,2339.0,1937.0,44.0,1399000.0,1450000,2024-08-14,1434419.0,False,9101.0,620.0,34.164237,-118.388806,"South Valley, Valley Village",1.0,0.0,2.0,Marc Tahler,Los Angeles Unified School District
1449,https://www.realtor.com/realestateandhomes-detail/7810-Topeka-Dr_Reseda_CA_91335_M11458-38208,SINGLE_FAMILY,7810 Topeka Dr,Reseda,91335,4.0,2.0,1912.0,1976.0,51.0,899950.0,920000,2024-08-14,913346.0,False,6000.0,481.0,34.21243,-118.545141,"South Valley, Reseda",1.0,0.0,2.0,Josephine Chung,"Los Angeles Unified School District, Los Angeles County Office Of Education School District"
1450,https://www.realtor.com/realestateandhomes-detail/1624-Palisades-Dr_Pacific-Palisades_CA_90272_M11891-97392,CONDOS,1624 Palisades Dr,Pacific Palisades,90272,3.0,3.0,1830.0,1974.0,42.0,1295000.0,1290000,2024-08-14,1294901.0,False,361377.0,705.0,34.076559,-118.563517,"Palisades Highlands, Pacific Palisades, Westside LA",2.0,791.0,2.0,Laura Klein,Los Angeles Unified School District
